# CareerFlow AI — Projeção financeira v2 (entrega final, set/2026). Premissas por ano (Ano 1; Ano 2; Ano 3):
# diagnósticos grátis/mês: 350; 1.500; 3.600
# conversão grátis→Plano: 0,06; 0,07; 0,07
# preço do Plano (R$): 197; 247; 297
# reembolso em 7 dias: 0,05; 0,05; 0,05
# Plano→Contínuo: 0,35; 0,4; 0,45
# Contínuo (R$/mês): 49; 59; 69
# churn mensal do Contínuo: 0,09; 0,07; 0,055
# % da base que compra avulso/mês: 0,1; 0,13; 0,16
# ticket avulso (R$): 34; 37; 39
# custo por diagnóstico (R$): 0,5; 0,45; 0,4
# custo de IA/dados por Plano (R$): 40; 34; 28
# custo por assinante/mês (R$): 14; 12; 10
# custo do avulso (% da receita): 0,3; 0,28; 0,25
# meios de pagamento (% da receita): 0,04; 0,04; 0,035
# impostos Simples (% da receita): 0,06; 0,08; 0,1
# pessoal (R$/mês): 9.000; 26.000; 45.000
# CAC por Plano (R$): 120; 135; 140
# vendas (R$/mês): 500; 2.000; 4.000
# tecnologia (R$/mês): 2.500; 5.000; 8.000
# G&A (R$/mês): 1.500; 3.000; 5.000
# Capital: sócios R$ 150.000 (mês 1) + anjo R$ 150.000 (mês 1) + seed R$ 600.000 (mês 13); capex R$ 60.000 no mês 1. Assinantes entram no mês seguinte ao Plano (o 1º mês está incluso no Plano).
Mês;Ano;Diagnósticos grátis;Planos vendidos (antes de reembolso);Novos assinantes;Cancelamentos;Assinantes ativos;Receita Plano (R$);Receita Contínua (R$);Receita Sob demanda (R$);Receita total (R$);Custos diretos (R$);Impostos (R$);Pessoal (R$);Marketing (R$);Vendas (R$);Tecnologia (R$);G&A (R$);EBITDA (R$)
18;2;1.500;105,0;39,9;12,9;211,4;24.638,25;12.473,61;1.521,97;38.633,83;8.753,51;3.090,71;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-23.385,39
19;2;1.500;105,0;39,9;14,8;236,5;24.638,25;13.954,56;1.642,70;40.235,51;9.152,59;3.218,84;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-22.310,92
20;2;1.500;105,0;39,9;16,6;259,9;24.638,25;15.331,84;1.754,98;41.725,07;9.523,74;3.338,01;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-21.311,67
21;2;1.500;105,0;39,9;18,2;281,6;24.638,25;16.612,71;1.859,41;43.110,37;9.868,91;3.448,83;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-20.382,37
22;2;1.500;105,0;39,9;19,7;301,8;24.638,25;17.803,92;1.956,52;44.398,69;10.189,91;3.551,90;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-19.518,11
23;2;1.500;105,0;39,9;21,1;320,5;24.638,25;18.911,75;2.046,84;45.596,83;10.488,44;3.647,75;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-18.714,36
24;2;1.500;105,0;39,9;22,4;338,0;24.638,25;19.942,02;2.130,83;46.711,10;10.766,08;3.736,89;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-17.966,87
25;3;3.600;252,0;44,9;18,6;364,3;71.101,80;25.136,55;3.845,70;100.084,05;16.603,35;10.008,41;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-23.807,70
26;3;3.600;252,0;107,7;20,0;452,0;71.101,80;31.187,41;4.392,91;106.682,12;17.848,02;10.668,21;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-19.114,11
27;3;3.600;252,0;107,7;24,9;534,9;71.101,80;36.905,47;4.910,02;112.917,29;19.024,23;11.291,73;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-14.678,67
28;3;3.600;252,0;107,7;29,4;613,2;71.101,80;42.309,04;5.398,69;118.809,53;20.135,75;11.880,95;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-10.487,17
29;3;3.600;252,0;107,7;33,7;687,2;71.101,80;47.415,42;5.860,48;124.377,70;21.186,14;12.437,77;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-6.526,21
30;3;3.600;252,0;107,7;37,8;757,1;71.101,80;52.240,94;6.296,88;129.639,62;22.178,76;12.963,96;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;-2.783,10
31;3;3.600;252,0;107,7;41,6;823,2;71.101,80;56.801,06;6.709,27;134.612,13;23.116,78;13.461,21;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;754,14
32;3;3.600;252,0;107,7;45,3;885,7;71.101,80;61.110,37;7.098,98;139.311,15;24.003,21;13.931,12;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;4.096,83
33;3;3.600;252,0;107,7;48,7;944,7;71.101,80;65.182,67;7.467,26;143.751,73;24.840,89;14.375,17;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;7.255,67
34;3;3.600;252,0;107,7;52,0;1.000,4;71.101,80;69.030,99;7.815,28;147.948,07;25.632,49;14.794,81;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;10.240,77
35;3;3.600;252,0;107,7;55,0;1.053,2;71.101,80;72.667,66;8.144,16;151.913,62;26.380,56;15.191,36;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;13.061,70
36;3;3.600;252,0;107,7;57,9;1.103,0;71.101,80;76.104,31;8.454,96;155.661,06;27.087,49;15.566,11;45.000,00;35.280,00;4.000,00;8.000,00;5.000,00;15.727,47
